number	type	position	latency	urevent
1.000000	square	2.000000	129.008750	1.000000
2.000000	square	2.000000	218.008750	2.000000
3.000000	rt		267.548136	3.000000
4.000000	square	2.000000	603.008750	4.000000
5.000000	rt		659.972644	5.000000
6.000000	square	2.000000	988.008750	6.000000
7.000000	square	2.000000	1373.008750	7.000000
8.000000	rt		1447.893869	8.000000
9.000000	square	1.000000	1758.008750	9.000000
10.000000	rt		1807.932163	10.000000
11.000000	square	1.000000	2143.008750	11.000000
12.000000	rt		2200.996714	12.000000
13.000000	square	1.000000	2528.008750	13.000000
14.000000	rt		2586.508749	14.000000
15.000000	square	1.000000	2913.008750	15.000000
16.000000	rt		2962.420127	16.000000
17.000000	square	1.000000	3298.008750	17.000000
18.000000	rt		3344.987961	18.000000
19.000000	square	2.000000	3683.008750	19.000000
20.000000	rt		3731.012031	20.000000
21.000000	square	2.000000	4068.008750	21.000000
22.000000	rt		4111.915751	22.000000
23.000000	square	2.000000	4453.008750	23.000000
24.000000	rt		4512.532819	24.000000
25.000000	square	2.000000	4838.008750	25.000000
26.000000	rt		4897.532819	26.000000
27.000000	square	2.000000	5223.008750	27.000000
28.000000	rt		5278.436539	28.000000
29.000000	square	1.000000	5608.008750	29.000000
30.000000	rt		5671.501090	30.000000
31.000000	square	1.000000	5993.008750	31.000000
32.000000	rt		6037.043760	32.000000
33.000000	square	1.000000	6378.008750	33.000000
34.000000	rt		6435.996714	34.000000
35.000000	square	1.000000	6763.008750	35.000000
36.000000	rt		6816.004373	36.000000
37.000000	square	1.000000	7148.008750	37.000000
38.000000	rt		7196.012031	38.000000
39.000000	square	2.000000	7533.008750	39.000000
40.000000	rt		7583.444197	40.000000
41.000000	square	2.000000	7918.008750	41.000000
42.000000	rt		7960.507655	42.000000
43.000000	square	2.000000	8303.008750	43.000000
44.000000	rt		8353.956233	44.000000
45.000000	square	2.000000	8688.008750	45.000000
46.000000	rt		8781.583146	46.000000
47.000000	square	2.000000	9073.008750	47.000000
48.000000	rt		9124.468268	48.000000
49.000000	square	1.000000	9458.008750	49.000000
50.000000	rt		9514.460609	50.000000
51.000000	square	1.000000	9843.008750	51.000000
52.000000	square	1.000000	10228.008750	52.000000
53.000000	rt		10275.499996	53.000000
54.000000	square	1.000000	10613.008750	54.000000
55.000000	rt		10664.980303	55.000000
